Tweet,Target 1,Stance 1,seen?
"Historically, the kind of sentimental nationalism expressed by Mr. Krikorian is a relatively recent phenomenon, and in its more potent forms -- as, for example, considering citizenship as intense as marriage, 'till death do us part' -- has often been a source of dangerous emotional politics and policy-making. Citizenship takes the universal human sense of membership in a community, and association with persons one sees every day and interacts with in many ways, and extends it in the imagination to a much larger circle, the nation. Such 'imagined community' is valuable in spurring solidarity and shared commitments beyond the local, but it is also vulnerable to emotional intensification and mythomania. The historical record of peoples subject to intense nationalist feelings -- many European nations in the 19th and early 20th century, more recently Serbia and now, more and more, China -- has been one of war-making, aggression, and disdain for others. Nationalism, and the intense 'marriage-like' sense of citizenship that it engenders, is a double-edged sword: valuable in moderation, dangerous when exaggerated, as Mr. Krikorian does.",dual citizenship,AGAINST,1
"Former Nobel economist Milton Friedman once said that the main purpose of government, with regard to illegal, black-market drugs, was to serve as a protection force for illegal drug cartels. By Friedman's definition, professional drug-warriors like Kevin Sabet, with their relentless, decades long campaign to incarcerate marijuana users, help cartels and drug gangs maintain their markets. A new, legal, regulated market for marijuana will have problems, but that system will replace a brutal, totally unregulated black market that rarely asks for a driver's license before making a sale. Mr. Sabet makes a show of concern for public health, but turns a blind eye to the damage done when young people are arrested, strip-searched and thrown into cells with violent criminals and rapists. The ACLU reports 749,825 arrested for marijuana in 2012.",market marijuana,AGAINST,1
"""If they can get the price point below $15k, they'll sell 50 million of them"" Not likely with Li ion batteries anytime within the next five years. The battery pack alone is estimated to cost $15K for all electric vehicles. But, look what happened with computing power over the last 30 years. I see all electric vehicles as being niche vehicles in the US for the next decade or so. Long term is more favorable if the cost of the battery pack can be lowered by a factor of 10.",li ion battery,AGAINST,1
"No! Never! Corporations cannot and must not be trusted to regulate themselves. They would make lying, cheating, stealing, pollution and indifference to the safety of others standard business practices in the name of competition. What they want is to be excepted from moral and ethical standards that the rest of us must adhere to in order to have a functioning society.",ethical standard,AGAINST,1
This argument is pure nonsense and NY Times readers deserve better. Migrants coming from the safety of Turkey are not in search of safer zones. Migrants who refuse to come to France because they want to go to Germany are not in search of safer zones. Migrants who bully their way to their desired destination are not in search of safer zones. Please stop trying to shove this argument on readers. Just because you repeat it does not mean it becomes any more believable.,immigrant,AGAINST,1
"In my opinion, these discussions skirt around the obvious. Some of these practices that Ms. Chau engaged in are nothing short of child abuse, plain and simple. There is no question that structure and discipline are necessary components of childrearing, but to justify belittlement and punishments such as she describes, is to advocate abuse. She is lucky she was never reported to an abuse registry. Her parenting style is devoid of soul, and most likely will be replicated by her children upon the next generation. But what, in fact, have you truly created? Does this advance the cause of humanity...or robotics?",extreme parenting,AGAINST,1
"We need a secure country, not just a secure border. We need mandatory use of E-Verify and laws making it illegal to stay in the US without an valid visa and mandate that ICE has to deport. Unemployment, especially among young, is horendous. I do not like it, but I will trade Dream Act for secure country. But I will not give away amnesty without changes going forward.",illegal immigration,AGAINST,1
"How ""impressive"" is today's game, whether NBA or college? Really. In the NBA, one guy brings the ball up, everybody stands around for 15 of the allotted 24 seconds, then one guy (I'm looking at you, LeBron, or Kobe, or, especially you, Carmelo) either misses a 3-pointer or ""takes it to the rack"" for a dunk and/or a foul. At the college level, this year's ""March Madness"" was, until the final game, March Dullness. Too few players know how to play as a team, or even how to shoot. Scoring is down, even (especially) compared to the days before the shot clock. I dunno. Maybe they should LOWER the rim.",sport,AGAINST,1
"""...one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet."" They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again. That much money.",business,AGAINST,1
What's next? Childless families get the tax break? Those whose children go to private schools get a tax break? Do we get the tax break when our children finish schoo? We ALL have a vested interest in a well educated population. We all have an obligation to contribute to the public school system.,home schoolers,AGAINST,1
"The bar exam serves now as the only bulwark against the declining standards resulting from too many law schools being far too eager to lower their admissions standards in pursuit of higher revenue from student tuition. This is solely a problem created by the law schools. Any potential consumer of legal services should hope that the bar exam standards are not lowered to allow less educated or capable candidates pass. A potential client may never know that their attorney took three or more tries to pass the exam. As a practicing attorney for the last 20 years, I can attest that the quality of new lawyers has been in steady decline for the last 8-10 years. Some that I have to interact with are completely unable to adequately represent their clients. Others seem driven to take any case (if contingent fee based) or drag it out as long as possible (if hourly) by maintaining untenable strategic positions in an attempt to keep up with their billable hours and, thereby, continue servicing their outrageous student loan debts. The degree of professionalism and competency in the legal field has been in free fall and I solely blame the law schools.",law school admission standard,AGAINST,1
"It's important to make sure that certain levels of financial support for students are met by universities to earn their not-for-profit status. Many universities are building empires at taxpayer expense - and it's a double whammy. Not only does the University itself enjoy not for profit status, but by expanding it is converting other tax-generating property into non-tax-paying property, diluting the tax rolls and forcing tax-payers to dig more deeply into our pockets.",financial support student,AGAINST,1
"There is no viable evidence that exists that suggest those who are 'rich' are morally above the fray. There is evidence to suggest the contrary via a sense of entitlement and attribution error that may elude others. In any event, Why would they need to be corrupt? They have all the wealth, they have the legal system, they have our system of taxation, they increasingly have control of our judges, they have the lobbyist, they control the politicians, they can buy elections, they run the companies, they enjoy the lowest corporate taxation (effective) rate in history, they enjoy the greatest wealth distribution 'inequality' of any developed nation, they have a work force that works more hours per week than virtually any nation on earth (with less benefits), they enjoy every perk the richest nation on Earth can offer while almost 50% of Americans sit 'at or near poverty'.... What more do 'they' need to corrupt? How much longer will we let them?",prosperity gospel,AGAINST,1
"Really? Maybe 10 years ago that was the prevailing sentiment. But since the illegal immigrants' protests and activism, and the trivialization and demonization of people who criticize the illegal nature of their status and actions, and being called racist or worse, I and many people I know are less supportive of these policies. For criminals to demand rights, and to totally ignore their illegal status starts to show that there is now a sense of entitlement, when there is no basis for one. The situation is better solved by deportation.",illegal immigration,AGAINST,1
"""The right to vote can be restored to felons, but it should be done carefully, on a case-by-case basis after a person has shown that he or she has really turned over a new leaf ..."" ------- In other words, let's create another bureaucracy that we can then underfund to the point that it becomes dysfunctional and use as an example to show that ""government is the problem."" ""Center for Equal Opportunity?"" What a joke.",right vote,AGAINST,1
"The whole idea of sainthood is absurd. Which evolved ape is worthy of veneration? Maybe Dorothy Day. Certainly not Mother Theresa nor John Paul II. On top of that, the Catholic Church has provided a bureaucratic process to vet the applicants including proof of two miracles, which are usually a sham to push through the desired prospect. Who on earth would venerate dictators, corrupt financiers and evil bishops? Only the Catholic Church! Next they will be canonizing Scalia. Instead of picking the Catholic All-Star team, when will the Catholic Church celebrate the beauty and weaknesses of ordinary human beings?",mother teresa,AGAINST,1
"This is pure nonsense. The corruption is easy to see, and to say it's relatively rare is to be willfully blind. The methods of corruption that are perfectly legal and extremely common include but are not limited to: - Super PACs - The straight-up $5000 campaign donation - An offer of a cushy job at a private company when the politician or regulator leaves office - Donor ""bundling"" - Insider trading on congressional activity (i.e. a committee is secretly considering a bill that affects an industry, and the members of that committee make stock trades in that industry benefiting from that knowledge) There are lots of ways that those that can pay get what they want from public officials that don't involve saying ""Here's $500 if you give my company the contract.""",rich politicans,AGAINST,1
"""are rich candidates less corruptible"" What a horribly cynical question! This assumption -- that people who are less wealthy are somehow understandably susceptible to bribes or cheats...the question belies a permissiveness that is a symptom of our age of decline.",rich politicans,AGAINST,1
"Its amazing - at any point will people deny themselves something ? Is there any point at which people can do this anymore ? Or are people so completely caught up with immediate self satisfaction they will risk absolutely anything ? Including infecting their own children, families & friends. Human kinds self delusion knows no bounds.",humankind,AGAINST,1
"Europeans are being told to continue supporting mass unchecked migration into their countries because the people coming, are fleeing the same type of terrorist attacks that some who are migrating, are now bringing into Europe....That's a paradox! Along the same nonsensical strategy, it's akin to telling Europeans to support mass unchecked migration into their countries from those fleeing the deadly Ebola virus. Unfortunately, radicalized Islamist's are akin to a virus that spreads and kills those who do not prescribe to their Ideology. For non Muslim Europeans there is no immunity, and the Paris attacks are likley just the beginning of this self imported virus.",refugee,AGAINST,1
its refreshing to read some sense on this subject rather than the usual demonizing fact swerving propaganda that makes people believe Iran somehow is their greatest pain or threat. which is a joke when you really stop to think about it,iran,AGAINST,1
"How would we in the US react if drones were hitting us? The technology separates the President, Secretary of State, and us citizens from the dead bodies, both correct and mistaken. The accidents are somehow even worse. I do not accept this mayhem conducted in my name.",drone,AGAINST,1
"What is the outcome of those students expelled from charter schools? Where do they go and where do they end up? I see the extra suspensions in charter schools as a failure of the business model and as a business, they should be liable for the results and restitution from the charter school is in order.",charter school,AGAINST,1
"So the 65% of my ridiculously large real estate tax bill that goes to the school district should be increased whenever someone comes over our border crying whatever? We need faster deportation and less tolerance for this scam game where our own children are being shortchanged while illegal immigrants soak up all the resources in our towns, cities and country. Enough. Stop the flow by eliminating the benefits.",illegal immigrant,AGAINST,1
"The title of the article is ""Is Immigration Really a Problem?"". As is often done, this ignores the fundamental distinction of legality. There are problems that are largely unique to illegal / unregulated immigration including: 1. Job shortage / depressed wages. (Our labor force participation rate is 62.6 compared to 65.7 in Jan 1009) 2. Burden on social welfare system due to illigal immigrants themselves. 3. Burden on social welfare system due to citizens who can not find jobs at acceptable wage levels. 4. Decreased tax collection. 3. No TB screening. 4. No background screening. 5. Discourages wait in line legal immigration. 6. Self selected only. Needs of country not considered. The recent case a a women being shot dead would have been preventable had our immigration laws been followed. Le'ts return to the rule of law with immigration. We can change the laws if we need to but lets start with the President following his oath to the constitution and more specifically that clause requiring him to take care that the laws be faithfully executed. John",immigration,AGAINST,1
"The game I grew up with and today's game are very different. In 1957 there were 8 teams, 11 players on each team, a total of 88 players in the entire league. Basketball was more a team game then, Bill Russell started his unbelievable streak, 13 seasons, 12 trips to the finals, 11 championships. Dribbling was done with the palm down, if Michael Jordan were magically transported back to 1957, he would have been called for palming the first time he touched the ball. The reason players today are able to drive so quickly is guiding the ball with the palm up, pushing the ball forward. Watching the Knicks of Reed and Frazier was a concert of 5 men working together,, moving the ball to the open man, constantly moving. Today 4 guys stand and watch an Anthony or James drive past their defender in an isolation play. Returning to the point, watching a 6'3"" guard dunk cheapens the shot, raise the basket 1 foot and the shot will regain the importance when Wilt Chamberlain the down a monster dunk.",michael jordan,AGAINST,1
I took my required 2 semesters of Spanish in college. I can't say I remember any of it. 2 semesters of a foreign language is required by many colleges. I'm not sure how this proposal is different. I don't think you can demand fluency in a foreign language as a graduation requirement.,mandatory college,AGAINST,1
"The fact that the newspaper of record can host a debate on the proposed expansion of off-shore drilling, with all we know about climate change, with the history of the BP disaster, should be all the proof anyone needs that we have a sick, greed-driven group of people making and reporting on our energy and economic policies. Unless the people rise up and challenge this insanity, people like Rob Whittman will see to it that we leave our children with a very bleak future.",offshore dilling,AGAINST,1
"so we no longer believe in teaching. Now parents know better, great so lets make sure parents keep their kids uneducated. A dinpsaur bone is a bone, it exists, sorry, tell your kids some nonsene like god planted and what you get is even more stupid, superstitious people who dont even teach their kids how to study their own faith. How many creationist ever read the bible, Josephus, the Roman theoologians? Why should you mommy and daddy will tell you to belive in santa so shut up! This sounds like Iran.",religious education school,AGAINST,1
"""I will be honest, they learned very little about modern medicine in the Home for the Dying"" True, that part. Because modern medicine absolutely opposes letting people suffer pain when pain relief is available. What Mother Theresa was teaching was flagrantly medically unethical.",mother teresa,AGAINST,1
"What is needed is information, not digested information or information processed through someone's personal view of what is going on. Why not give us the data and let us decide? As an example, Tell us graduate rates vs ACT scores, the whole table, not the correlation coefficient. Loan debt versus time to graduation, high school GPA versus timely progression to degree. Athletic budget versus library budget. Full time faculty vs other instructors. I can think of many things which would help families decide if the school was legitimate and a good fit for their child than just some grade or two. As a university mathematics professor I am too well aware of how little information a grade conveys about a student's progress. The same is true here, in spades.",act score,AGAINST,1
"Absolutely it's needs to be defined and regulated in its use, as currently the word 'natural' when used on food products is totally confusing and meaningless. Clearly they are trying to imply the item is 'healthy' or possibly 'organic', but when you see food 'manufacturers' like Frito-Lay or Campbell's with products labelled 'natural', that alone should set off alarms that all is not what it seems. ;-)",natural labor,AGAINST,1
"Finally, someone who wants to succeed within the context of our laws. We also need to look at perverse incentives, like unemployment benefits not tied to taking farming jobs. Keep up the good work, Mr. Shute. Hopefully, you will have less competition when your competitors who use illegal labor are put in jail.",illegal labor practice,AGAINST,1
"The world is a mean, cold, hard, ugly place. A soveriegn nation's highest call is to protect its citizens. Allowing tens of thousands of random refugees asylum makes a nation less secure. A nation must take care of its own first. Only then can it help outsiders. Ideally, those two objectives will not clash. In a time of war, however, they are in direct conflict. Europe needs to not only allow zero new refugees in, but it needs to cancel all current visas and issue no new visas to citizens from the Middle East. When this war is over, when Islam in the Middle East finally undoes its extremist rigging, then immigration and visas may begin again. After all, in 1943, we weren't taking in any German or Japanese refugees, or allowing them to come in on student or work visas. Every nation in the Middle East, with the possible exception of Jordan, is a a grave enemy to values and security of the West. This is a war now. We must act on a war footing.",imminent war,AGAINST,1
"The desire to continue punishing people who have served their sentence and paid their debt to society is pervasive, unjust and inhumane. It seems all too many of us would prefer to push individuals with a criminal record off the proverbial edge over extending a hand to help them regain their footing. Fear may be at the bottom of this pattern of behavior but in my view it only makes things worse in the long run.",discrimination ex convict,AGAINST,1
"And so it continues. First, we banned alcohol, but that didn't work. So then we banned weed, and that didn't work. Now we ban cigarettes, because we still despise poor people, but since poor people drink, let's go back to using bans on alcohol to attack them.",wealth,AGAINST,1
"Should Europe shun Muslim refugees? Yes, but not only because of what happened in Paris! As much as these refugees are in a really bad situation - people seem to forget that there is already a huge problem in Europe with Muslim immigrants. For different reasons, these immigrants have not integrated into society, refuse to obey local laws and as a group are very hateful and intolerant towards others. You can either call me a racist or a realist - the facts are very hard to ignore. Anyone who thinks that these refugees will be different from those Muslims already in Europe is dreaming - allowing all these immigrants in will only worsen the existing situation in Europe. It is fine to want to help the refugees - how about the Arab countries in the region? I haven't actually seen any Arab countries offering help - or is that heresy?",refugee,AGAINST,1
"The changes planned by Ryan and his compatriots will do nothing to help, and only hurt the program and the seniors it was designed to help in the long run. Privatization of any insurances at this point is like letting the fox run loos in the hen house. Can anyone show us where privatization has made the cost of running a government service cheaper AND improved the quality, or even maintained the quality of the program?",insurance,AGAINST,1
"Len Penzo writes, 'Why would any server go out of his way to give excellent service when he knows he'll be getting the same pay regardless of whether he busts his hump or takes it relatively easy by doing just enough to meet the minimum standards?' This, to me, is the weakest argument in the weakest entry among the six writers who have commented in this Room for Debate topic. If tips were abolished, it's true that individual servers could just do the bare minimum, or they could give excellent service. That would simply bring waiters in line with many other service occupations that don't depend on tipping - coworkers know who among their coworkers are slackers, and who are great to work with.Abolishing tipping would give managers more leeway to give raises to better workers.",tip waiter,AGAINST,1
"One need not read any of these articles to know the answer to the question, ""should those with beach front homes have to open their land to the public?"" because the answer is an emphatic no. Odds are that anyone who owns beach front property so alluring that total strangers would want to indulge in it is probably pretty well off, and in 21st century America nothing is more precious than safeguarding the rights and interests of those who are well off. The rich own businesses and factories, they create jobs, fuel the economy, and if they should run ever run afoul of insignificant things such as environmental law, then let's be honest, it's their water and their air that they so generously share with the rest of us, so why shouldn't they be allowed the occasional beachfront sanctuary to wash away their heavy burdens.",beach,AGAINST,1
Anyone who says or even thinks that air travel today is superior in any meaningful way to air travel before regulation has no direct knowledge of regulated air travel. - I do. Air travel today is equivalent to bus travel in the sixties. I remember that as well. There is no such thing as a free market in any industry -- least of all the airline industry.,airline industry,AGAINST,1
"Yes, let's make college admissions (and even private K- 12 school please) based more on socioeconomics than race. In Silicon Valley, there are many non-Caucasian children of multimillionaires, who live in $3 to $15 million houses, receive as much tutoring and college counseling help as they need, attend expensive summer camps/programs, and travel the world before they are 18 years old. They don't need preferences when it comes to school and college admissions.",income,AGAINST,1
"Right, lets's support or enemies and desert our friends so that our enemies don't hate us, and maybe, if we show them we are willingt o desert Isreal we will get Hamas and hezbollah and Al Quaida ti think we are fair and reasonable and the world will be safer. Brilliant theory,",supporting enemy,AGAINST,1
"The problem is not US support for Israel- it is the unquestioning support for the Likudniks and instant vilification of anyone who questions or criticizes anything the Israeli government decides to do that is the problem. AIPAC needs to be flushed out and shown to the bright sunshine which should greatly weaken it's undue influence in our politics. A speck of a country the size of a county in most US states should not be the tail wagging the dog in Mideast policy. I want Israeli politics out of US foreign policy and I am not alone. I do not wish any ill upon the people or nation of Israel, but am tired of AIPAC undue influence in our foreign policy. There will be no lasting peace in the Israel until all parties see justice done. The Likudniks have no intention of brokering an honest and just peace with the Palestinian people nor respecting their rights of property. Modern Israel is an apartheid state and should be shunned until they come to their senses.",israel politics,AGAINST,1
"On my flight yesterday from Seattle to Dulles/DC the legroom upgrade would have been $119, not $39. Where I live, Southwest doesn't fly, so that isn't happening. Because flying has become so unpleasant I do it as little as possible. The only bright spot is the foreign carriers on trans Atlantic flights--a trip to Milan via Emirates last summer was a pleasure, with legroom, edible food and a choice of 500 movies to watch for free. Regulation of things like legroom and full disclosure of fees sounds like a good idea to me.",fly,AGAINST,1
"My daughter would LOVE to be able to opt in and out of classes at the Virginia public high school she attends. Personally, I would LOVE to be able to pull her out of certain classes and get her tutored in them or some such. But that's now how it works. If her high school is not good enough for these kids to attend, then they have no business being there playing sports. It is not a cafeteria, you don't get to pick and choose what you do and do take off the tray. Why don't we just take team sports out of the schools and make them a separate institution? Certainly a lot of the folks who are gung ho on their local high school football and basketball programs don't give much of a damn about the academics of those students anyway so long as they can have a winning team. Let's set up something elsewhere and let the rest of our kids concentrate on getting an education that will enable them to do something besides playing sports!",high school football,AGAINST,1
"FEMA's job seems to be mostly supplying money. We don't need a large organization to hand out money. Local officials, at least in my area, handle ALL of the disaster need - shelters, snow plows, tree cutting etc. And neighbords help one another. But then I suspect we are a more homogeneous community than say Gaithersburg, MD. Homogeneous communities and local officials are better at self-help than multi-cultural ones where you may not even speka the language of your neighbor or even know who they are. Generally I think local communities do a better job than FEMA which is more like bull in a china shop But we don't need such a huge agencies with so many federal employees to hand out money - it could be cut in size and still work well.",fema,AGAINST,1
"I agree that legislation neither can nor should alter one's intellectual disposition (or demonstrated deficiency thereof), but what is the cumulative, aggregate effect of such a hands-off approach from our government when the media is so actively involved in pursuit of the polar opposite: informing citizens' views, fertilizing nascent biases with clever sound bites, punditry and selective editing, and even stoking flames of [fill in the blank] - all the while protected by the First Amendment? The result is a two-way mirror, with the citizen - Quran burning or not - sitting in the interrogation room, too comfortable in his or her biases or just too dumb to question the reflection before them.",mass medium,AGAINST,1
"If an employee knows enough to truly hurt you, perhaps he should be paid accordingly. And noncompetes assume that, whatever the intellectual property is, the employer created all the value and deserves all the credit and the employee none. While that may be the current legal situation, there is very little that's realistic about that assumption.",noncompete deal,AGAINST,1
"I went to a great public school as a child. Every term there'd be some new student in my class who'd just been expelled from a parochial school. Of course, the public school has to take those kids. That taught me as a child why private schools look like they have such a great success rate. They can kick out their lowest performers, while the public schools cannot. Looks like the same with charters, too.",charter school,AGAINST,1
"The author seems to excluding the most likely scenario which is the restaurants will sell some reservations AND continue to hold others for celebrities, the politically and socially well connected, and regular customers etc. Clubs, sporting events, etc. comp people all the time for admittance that would otherwise cost money. All this means is that the rest of us will pay to compete against each other for the limited pool of publicly available reservations. Hard to see how that is democratizing.",restaurant reservation,AGAINST,1
"????Are Americans collectively dumb as a nation???? What other nation is stupid enough to fight a war to beat its enemies, and then goes back in and spends billions to build them up again? And again. What other nation is stupid enough to get involved in wars between murderous factions within the same country who have been killing each other for a thousand years? What other nation would destroy its major manufacturing businesses, and put millions of its citizens out of jobs, by sending the work overseas. What other nation would tolerate disgraceful music, TV and movies for its young that features the lowest in human degradation masquerading as entertainment?",war,AGAINST,1
"No, ban the box is not enough there should be a time limit for back ground checks, 6 months for non violent misdemoners, 2 years for non violent felonies. and a longer time for violent crimes depending upon the crime. People need to work and have a job and have a place to live.",violent criminal,AGAINST,1
"I'm deeply concerned but not amazed of the comments of Mr. Montaner. So far Cuba is no longer in the Soviet Union orbit and there's a lot of change in the government's behavior since Fidel Castro is no longer in front of the executive of the Comunist Party. I think Mr. Montaner should pay more attention to the latest polls in the UN against the embargo, the solidarity of the cuban doctors, and the progress and investments a lot of countries are taking inside the island, if america doesn't take this chance to lift the embargo he will pass thru history once again as the could-have-done but-never-did disappointing administration of Mr. Obama.",cuba,AGAINST,1
"Should Europe shun Muslim refugees? Yes, but not only because of what happened in Paris! As much as these refugees are in a really bad situation - people seem to forget that there is already a huge problem in Europe with Muslim immigrants. For different reasons, these immigrants have not integrated into society, refuse to obey local laws and as a group are very hateful and intolerant towards others. You can either call me a racist or a realist - the facts are very hard to ignore. Anyone who thinks that these refugees will be different from those Muslims already in Europe is dreaming - allowing all these immigrants in will only worsen the existing situation in Europe. It is fine to want to help the refugees - how about the Arab countries in the region? I haven't actually seen any Arab countries offering help - or is that heresy?",muslim,AGAINST,1
"Ridiculous. Myriad can have a patent on the techniques used to sequence a gene, a patent on the test used to detect the gene, but they cannot patent the gene itself. It's the equivalent of Newton patenting F=MA - it's a fact of the natural world that mankind has discovered, not something new mankind has created.",gene,AGAINST,1
"This is a great statement. After taking Jeffrey Sachs' and Peter Singer's courses online via Coursera for free, it is abundantly clear to me that from the perspectives of economic development, sustainability and ethics all that Mr. Nair concludes is true. Problem is whether it is simply human nature which will prevent us from overcoming our collective addictions to ego and hedonism, and that balance with humility is an ephemeral conceit.",ego hedonism,AGAINST,1
"Bove's comment is illogical. He effectively argues that because 2Big2Fail banks do some good, they are not out of control. That is besides the point. It has nothing to do with whether they are still a threat to the financial system by being 2Big2Manage. They can both do some good and be 2Big2Manage. One hopes his analysis on other issues isn't as shoddy. Perhaps he's become a mere paid shill.",control,AGAINST,1
"Its amazing - at any point will people deny themselves something ? Is there any point at which people can do this anymore ? Or are people so completely caught up with immediate self satisfaction they will risk absolutely anything ? Including infecting their own children, families & friends. Human kinds self delusion knows no bounds.",self delusion,AGAINST,1
"The author is correct to observe that ""...racial disparities remain alarmingly wide."" But there is no evidence to suggest that affirmative action can change that. Affirmative action is quite likely part of the problem, not the solution. It insults blacks and hispanics and breeds resentment in others. Let's stop discriminating against people because of their skin color and let's increase opportunity for everyone in our society, especially for those at the bottom of the economy.",racial disparity,AGAINST,1
"Does any world leader or any rational person still believe that the Natanyahu government wants peace. More like they want PIECE: more land and more settlements. Unfortunately and sadly, the only thing that may lead to serious negotiations and some sort of peace agreement is economic and political pressure on Israel by western governments.",palestinian state,AGAINST,1
"The United States of America is the most advanced country in terms of childhood vaccination. (that means, American children are the most heavily vaccinated in the world) And yet, more than half of that most vaccinated U.S. children suffer from chronic illnesses or obesity. Have you ever thought why? Wake up Americans.",vaccination,AGAINST,1
"Kerry's threat to punish a country that violates the US Government's sense of morality and obscenity -- in the absence of any threat to the US -- will tear US society apart. His advocacy of war to overturn the government of that disfavored country places him in something close to the posture of a colonial ruler. If the standards applied to Syria today had been applied to Iraq in the 1970's, we would have intervened in Syria back then. The USA seems to be taking a step back in time with Kerry at State.",sec state kerry,AGAINST,1
"American culture enshrines one thing: success. In the business world, that means profits. We sacrifice our happiness, relationships, mental health and basically everything else worthwhile in life to achieve a higher bank balance and end up with more assets than those with whom we have been taught since preschool to compete. And then occasionally a little voice pipes up, whether it's from a child, a coworker, a spouse, whomever, reminding us that there are more things out there than our narrow pursuit of gain. But having sold our immortal souls quite literally to pursue wealth, we shut those voices out. Bullying is a virtue in this inverted world where the crassest jungle version of capitalism is to be found.",pursuit wealth,AGAINST,1
Here's one for you... Try living in a city (new Haven) that no longer has manufacturing base and the bulk of land is owned by a university that pays no taxes. It creates a city that is completely split along university and townie lines... and not to the good. Taxes should and must be paid to the city that provides the land,university,AGAINST,1
"It drives me bonkers when economists talk about taxation only in terms of punishment and disincentives. As though taxation had no other function. The only argument in this little blurb is that taxing capital gains is an incentive for fat cats to move their money abroad in the most unpatriotic and revolting display of greed and wealth-obsession I can think of. So let's just not tax them at all! Clearly these people are smart enough to make tons of money without lifting a finger to do real work, so this entitles them to make all the money they want tax free. Bully for them!",economy,AGAINST,1
"How ironic in which for decades now companies have been moving their manufacturing to low wage off shore locations to boost their profits yet they feel it necessary to attempt to legally inhibit an employee from moving on to a a better opportunity with another organization? Quite laughable when you think China, in particular, has paid little attention to patent rights and intellectual property, let alone their ongoing attempted hacking of American corporate secrets, yet, these companies remain there. If a company insisted on me signing such a questionable agreement, it is time to look elsewhere. The hypocrisy here is beyond the pale.",offshore manufacturing,AGAINST,1
"Is it any surprise that a right wing writer who I'm sure would have preferred to see Hoover continue as president has come out with another book that twists and ignores facts. Considering the Dust Bowl, the ability of American farmers to produce sufficient food was impossible. When that finally ended the land was so completely stripped of top soil that it took years to get it back to full production. It is amazing that people like Folsom are still looking back 80 years to try and find a way to blame FDR for everything that has happened since. If the solution was so easy and obvious why didn't the host of GOP presidents just fix it. Instead they found ways to drive the small farmers off the land and make room for the industrial farms owned by their rich supporters. My mother's family had small farms that couldn't compete with the giants and were all driven off their land that the family had farmed since the late 1800s. I wonder how much Folsom is paid to write books that will mostly be bought by the case by the rich supporters of his twisted, imagined viewpoint.",industrial farming,AGAINST,1
"I know of too many kids put through too many years of high school, utterly frustrated at the system. Usually they take as many AP classes as possible, or take the GED and go to college early, or if the system allows, spend half days in high school and half days in college. Another one I know completed college at night and summers while attending days in high school.Nearly all had to 'fight the system' to do this. Why should all of this be made so difficult ? Why can't these choices be an available option to all, instead of foot-dragging, paperwork-filled, unending office meetings, interminable official resistance , with insane remarks like 'but they will miss the senior prom', 'readiness', 'socialization' etc. They want out. Let them go.",six year,AGAINST,1
"The Fourteenth Amendment to the Constitution says: ""No state shall....deny to any person within its jurisdiction the equal protection of the laws."" I don't think calling the Michigan affirmative action practices ""a justified remedy"" allows any entity to violate that amendment, particularly since its public has gone on record as rejecting it. Who says its a ""justified remedy"" and what are the qualifications of the entity making that claim? This is an argument from a law professor?",fourteenth amendment constitution,AGAINST,1
"It's really tiresome to hear all these male obstetricians (not that the female ones are much better in this regard) make remarks like ""oh yes, we should be doing a better job"" of making hospital birth safer, with fewer C-sections and better outcomes -- and less trauma -- for mothers and babies, etc. If they really cared about ""doing a better job"" they would have been working towards changing the hospital environment and protocols already, and they're not. Very little has changed for the better and in fact c-section rates continue to rise. (And increasingly obstetricians have *less* training now in techniques such as vaginal breech delivery, forceps delivery, VBAC . . .) I'm really not seeing this urge to do ""a better job"" that they keep talking about. They are patronizing and dismissive towards trained and knowledgeable midwives and towards women with real concerns. Also, the attempt by these commentators to equate advocates of homebirth with ""anti-vaxxers"" and ""junk science"" is rather scurrilous. The circumstances and practices involved, and the quality of argument and evidence in each case, are not equivalent.",male obstetrician,AGAINST,1
"Let's see: a politician; his state stands to benefit directly; he's in the VERY opposition party; the issue is oil/environment/regulation/prices/national-security/trade-deficit and he's a 21st century republican; he's talking about long-term and fossil fuels - not to be taken seriously. And just to be clear, Mr. Rep., it is republicans who every time the oil price rises, fan the flames of armageddon, including national security (sic) and the trade deficit, to support more drilling, despite evidence each time from the studies republicans commission that drilling here can not affect any of these significantly. The low hanging fruit in lowering demand, however, can have a greater effect sooner and not hurt but rather help the economy, except for the oil industry and their lackeys, and benefit in many ways that republicans don't care about (health, environment, technological edge).",fossil fuel drilling,AGAINST,1
"This is the old race to the bottom argument: ""If only we had the most business friendly practices, capital would flow to our country."" I, for one, am not having it. If a business is a good investment, a reasonable tax rate is no barrier to investment for a smart investor. By Mr. Miron's argument, we could attract even more capital by paying people and businesses for investing in America, essentially make the tax rate negative. Wouldn't that be grand? Paying the rich to invest in their own country?",race bottom,AGAINST,1
